模式,代码,名称,动作,介入时机,目标价,止损价,止盈价,仓位,前置条件,取消条件,置信度,理由,加入观察池
炸板回封（次日）,603189,网达软件,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.9,前日炸板回封，次日观察弱转强: 早盘涨停后炸板1次，1分钟回封，换手6.0%，封单强度1.1%,True
炸板回封（次日）,000720,新能泰山,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.85,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，1分钟回封，换手23.5%，封单强度1.6%,True
炸板回封（次日）,000950,重药控股,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.8,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，8分钟回封，换手9.0%，封单强度0.8%,True
弱转强,002792,通宇通讯,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开0.0%竞价量0.0%,True
弱转强,000720,新能泰山,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开0.0%竞价量0.0%,True
弱转强,600056,中国医药,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开0.0%竞价量0.0%,True
弱转强,002222,福晶科技,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开0.0%竞价量0.0%,True
弱转强,300006,莱美药业,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开0.0%竞价量0.0%,True
弱转强,688485,九州一轨,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开0.0%竞价量0.0%,True
炸板回封（次日）,003007,直真科技,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，13分钟回封，换手8.5%，封单强度1.0%,True
炸板回封（次日）,603123,翠微股份,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.7,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，18分钟回封，换手9.0%，封单强度1.1%,True
首板突破,002952,亚世光电,买入,09:31-10:00,25.18,23.42,27.7,light,9:40前涨停; 封单持续增加; 板块效应明显,涨停时间>10:00; 反复炸板; 板块跟风不足,0.87,首板突破+光学光电热点+5日涨幅4.4%+量比2.0+封单强度3.1%+突破均线,True
首板突破,605303,园林股份,买入,09:31-10:00,17.77,16.53,19.55,light,9:40前涨停; 封单持续增加; 板块效应明显,涨停时间>10:00; 反复炸板; 板块跟风不足,0.82,首板突破+基础建设+5日涨幅3.4%+量比2.8+封单强度2.6%+突破均线,True
