模式,代码,名称,动作,介入时机,目标价,止损价,止盈价,仓位,前置条件,取消条件,置信度,理由,加入观察池
弱转强,600310,广西能源,买入,09:24:30-09:25:00,6.6,6.14,7.26,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,720,新能泰山,买入,09:24:30-09:25:00,5.51,5.12,6.06,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,767,晋控电力,买入,09:24:30-09:25:00,5.09,4.73,5.6,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,600844,金煤科技,买入,09:24:30-09:25:00,4.99,4.64,5.49,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,603538,美诺华,买入,09:24:30-09:25:00,39.18,36.44,43.1,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2082,万邦德,买入,09:24:30-09:25:00,26.04,24.22,28.64,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2361,神剑股份,买入,09:24:30-09:25:00,13.64,12.69,15.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2263,大东南,买入,09:24:30-09:25:00,4.07,3.79,4.48,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2192,融捷股份,买入,09:24:30-09:25:00,78.0,72.54,85.8,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,603026,石大胜华,买入,09:24:30-09:25:00,93.85,87.28,103.23,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
二板定龙,720,新能泰山,买入,09:24:30-09:25:00,5.51,5.12,6.06,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,767,晋控电力,买入,09:24:30-09:25:00,5.09,4.73,5.6,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,603538,美诺华,买入,09:24:30-09:25:00,39.18,36.44,43.1,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
